sample_uid,split,scene_id,sequence_id,frame_id,height_m,height_category,scene_category,gt_instances,pred_instances,iou_threshold,tp,fp,fn,precision,recall,f1,absolute_count_error
scene_09_50_000359,test,scene_09,scene_09,000359,50,50,scene_09,18,6,0.25,0,6,18,0.0,0.0,0.0,12
scene_09_50_000359,test,scene_09,scene_09,000359,50,50,scene_09,18,6,0.5,0,6,18,0.0,0.0,0.0,12
scene_09_50_000360,test,scene_09,scene_09,000360,50,50,scene_09,23,6,0.25,0,6,23,0.0,0.0,0.0,17
scene_09_50_000360,test,scene_09,scene_09,000360,50,50,scene_09,23,6,0.5,0,6,23,0.0,0.0,0.0,17
scene_09_50_000361,test,scene_09,scene_09,000361,50,50,scene_09,21,5,0.25,0,5,21,0.0,0.0,0.0,16
scene_09_50_000361,test,scene_09,scene_09,000361,50,50,scene_09,21,5,0.5,0,5,21,0.0,0.0,0.0,16
scene_09_50_000362,test,scene_09,scene_09,000362,50,50,scene_09,19,7,0.25,0,7,19,0.0,0.0,0.0,12
scene_09_50_000362,test,scene_09,scene_09,000362,50,50,scene_09,19,7,0.5,0,7,19,0.0,0.0,0.0,12
scene_09_50_000363,test,scene_09,scene_09,000363,50,50,scene_09,20,8,0.25,0,8,20,0.0,0.0,0.0,12
scene_09_50_000363,test,scene_09,scene_09,000363,50,50,scene_09,20,8,0.5,0,8,20,0.0,0.0,0.0,12
scene_09_50_000364,test,scene_09,scene_09,000364,50,50,scene_09,13,0,0.25,0,0,13,0.0,0.0,0.0,13
scene_09_50_000364,test,scene_09,scene_09,000364,50,50,scene_09,13,0,0.5,0,0,13,0.0,0.0,0.0,13
scene_09_50_000365,test,scene_09,scene_09,000365,50,50,scene_09,5,5,0.25,0,5,5,0.0,0.0,0.0,0
scene_09_50_000365,test,scene_09,scene_09,000365,50,50,scene_09,5,5,0.5,0,5,5,0.0,0.0,0.0,0
scene_09_50_000393,test,scene_09,scene_09,000393,50,50,scene_09,18,0,0.25,0,0,18,0.0,0.0,0.0,18
scene_09_50_000393,test,scene_09,scene_09,000393,50,50,scene_09,18,0,0.5,0,0,18,0.0,0.0,0.0,18
scene_09_50_000394,test,scene_09,scene_09,000394,50,50,scene_09,21,3,0.25,0,3,21,0.0,0.0,0.0,18
scene_09_50_000394,test,scene_09,scene_09,000394,50,50,scene_09,21,3,0.5,0,3,21,0.0,0.0,0.0,18
scene_09_50_000395,test,scene_09,scene_09,000395,50,50,scene_09,19,7,0.25,3,4,16,0.42857142857142855,0.15789473684210525,0.23076923076923078,12
scene_09_50_000395,test,scene_09,scene_09,000395,50,50,scene_09,19,7,0.5,0,7,19,0.0,0.0,0.0,12
scene_09_50_000396,test,scene_09,scene_09,000396,50,50,scene_09,25,8,0.25,3,5,22,0.375,0.12,0.18181818181818182,17
scene_09_50_000396,test,scene_09,scene_09,000396,50,50,scene_09,25,8,0.5,0,8,25,0.0,0.0,0.0,17
scene_09_50_000397,test,scene_09,scene_09,000397,50,50,scene_09,17,12,0.25,1,11,16,0.08333333333333333,0.058823529411764705,0.06896551724137931,5
scene_09_50_000397,test,scene_09,scene_09,000397,50,50,scene_09,17,12,0.5,0,12,17,0.0,0.0,0.0,5
scene_09_50_000398,test,scene_09,scene_09,000398,50,50,scene_09,19,8,0.25,1,7,18,0.125,0.05263157894736842,0.07407407407407407,11
scene_09_50_000398,test,scene_09,scene_09,000398,50,50,scene_09,19,8,0.5,0,8,19,0.0,0.0,0.0,11
scene_09_50_000399,test,scene_09,scene_09,000399,50,50,scene_09,20,5,0.25,2,3,18,0.4,0.1,0.16,15
scene_09_50_000399,test,scene_09,scene_09,000399,50,50,scene_09,20,5,0.5,0,5,20,0.0,0.0,0.0,15
scene_09_50_000400,test,scene_09,scene_09,000400,50,50,scene_09,19,5,0.25,2,3,17,0.4,0.10526315789473684,0.16666666666666666,14
scene_09_50_000400,test,scene_09,scene_09,000400,50,50,scene_09,19,5,0.5,0,5,19,0.0,0.0,0.0,14
scene_09_50_000401,test,scene_09,scene_09,000401,50,50,scene_09,15,5,0.25,1,4,14,0.2,0.06666666666666667,0.1,10
scene_09_50_000401,test,scene_09,scene_09,000401,50,50,scene_09,15,5,0.5,0,5,15,0.0,0.0,0.0,10
scene_09_50_000402,test,scene_09,scene_09,000402,50,50,scene_09,17,0,0.25,0,0,17,0.0,0.0,0.0,17
scene_09_50_000402,test,scene_09,scene_09,000402,50,50,scene_09,17,0,0.5,0,0,17,0.0,0.0,0.0,17
scene_09_50_000403,test,scene_09,scene_09,000403,50,50,scene_09,9,0,0.25,0,0,9,0.0,0.0,0.0,9
scene_09_50_000403,test,scene_09,scene_09,000403,50,50,scene_09,9,0,0.5,0,0,9,0.0,0.0,0.0,9
scene_09_50_000431,test,scene_09,scene_09,000431,50,50,scene_09,12,0,0.25,0,0,12,0.0,0.0,0.0,12
scene_09_50_000431,test,scene_09,scene_09,000431,50,50,scene_09,12,0,0.5,0,0,12,0.0,0.0,0.0,12
scene_09_50_000432,test,scene_09,scene_09,000432,50,50,scene_09,14,2,0.25,0,2,14,0.0,0.0,0.0,12
scene_09_50_000432,test,scene_09,scene_09,000432,50,50,scene_09,14,2,0.5,0,2,14,0.0,0.0,0.0,12
scene_09_50_000433,test,scene_09,scene_09,000433,50,50,scene_09,13,6,0.25,2,4,11,0.3333333333333333,0.15384615384615385,0.21052631578947367,7
scene_09_50_000433,test,scene_09,scene_09,000433,50,50,scene_09,13,6,0.5,0,6,13,0.0,0.0,0.0,7
scene_09_50_000434,test,scene_09,scene_09,000434,50,50,scene_09,14,10,0.25,2,8,12,0.2,0.14285714285714285,0.16666666666666666,4
scene_09_50_000434,test,scene_09,scene_09,000434,50,50,scene_09,14,10,0.5,0,10,14,0.0,0.0,0.0,4
scene_09_50_000435,test,scene_09,scene_09,000435,50,50,scene_09,17,12,0.25,2,10,15,0.16666666666666666,0.11764705882352941,0.13793103448275862,5
scene_09_50_000435,test,scene_09,scene_09,000435,50,50,scene_09,17,12,0.5,0,12,17,0.0,0.0,0.0,5
scene_09_50_000436,test,scene_09,scene_09,000436,50,50,scene_09,17,12,0.25,1,11,16,0.08333333333333333,0.058823529411764705,0.06896551724137931,5
scene_09_50_000436,test,scene_09,scene_09,000436,50,50,scene_09,17,12,0.5,0,12,17,0.0,0.0,0.0,5
scene_09_50_000437,test,scene_09,scene_09,000437,50,50,scene_09,16,10,0.25,3,7,13,0.3,0.1875,0.23076923076923078,6
scene_09_50_000437,test,scene_09,scene_09,000437,50,50,scene_09,16,10,0.5,0,10,16,0.0,0.0,0.0,6
scene_09_50_000438,test,scene_09,scene_09,000438,50,50,scene_09,16,9,0.25,3,6,13,0.3333333333333333,0.1875,0.24,7
scene_09_50_000438,test,scene_09,scene_09,000438,50,50,scene_09,16,9,0.5,0,9,16,0.0,0.0,0.0,7
scene_09_50_000439,test,scene_09,scene_09,000439,50,50,scene_09,20,8,0.25,3,5,17,0.375,0.15,0.21428571428571427,12
scene_09_50_000439,test,scene_09,scene_09,000439,50,50,scene_09,20,8,0.5,0,8,20,0.0,0.0,0.0,12
scene_09_50_000440,test,scene_09,scene_09,000440,50,50,scene_09,16,10,0.25,0,10,16,0.0,0.0,0.0,6
scene_09_50_000440,test,scene_09,scene_09,000440,50,50,scene_09,16,10,0.5,0,10,16,0.0,0.0,0.0,6
scene_09_50_000441,test,scene_09,scene_09,000441,50,50,scene_09,11,0,0.25,0,0,11,0.0,0.0,0.0,11
scene_09_50_000441,test,scene_09,scene_09,000441,50,50,scene_09,11,0,0.5,0,0,11,0.0,0.0,0.0,11
