model,road,walkway,dirt,gravel,rock,grass,vegetation,tree,ground_obstacle,person,bicycle,vehicle,water,building,roof,cable,cable_tower,parking_lot,construction,crane,truck
"CGFormer
DAV2",2.0059321850177,0.7862663245769799,0.5566981413990699,0.48630922319937,0.01445365807044,2.51472846171182,1.07390551222258,7.89334488167891,1.23345864284036,0.0,0.00101560648634,3.74835350273124,0.0,33.81025165945351,1.7150813865554102,0.0,,1.8728424365095,0.17288496533141,,0.01510657913736
"CGFormer
V-JEPA2",3.19006556631527,2.02816194564245,1.16735545719622,1.21857816773841,0.02456230889929,5.60479806153141,1.20137049920876,5.82223352644926,0.22837961967337,0.0,0.0031592974173871,6.71680747323712,0.0,31.48642144548536,0.85197784839669,0.0,,3.11537026743199,0.1968119817188199,,0.0609612439627699
"FSSC RGB
DPT ctx",87.78380751609802,2.98433359712362,1.45015437155961,0.15244223177433,0.45107449404895,0.01968282595044,2.75690387934446,1.26307168975472,13.89140486717224,0.05506833549588,,0.0,0.0,5.38821928203105,0.0,,38.27239871025085,0.90452721342444,,,
"FSSC RGB
FiLM-DPT ctx",86.37944459915161,0.28828349895775,0.19144440302625,0.28860294260084,0.04326098132878,0.0062952894950285,1.69449970126152,0.72734812274575,1.46493092179298,0.09349363390356,,0.0,0.0,0.2313838107511399,0.0,,26.50462388992309,1.25318896025419,,,
"FSSC video
DTA-MVS",0.08006048738025,0.0082054670201614,0.4035780206322599,0.0006241210940061,0.0047935511247487,1.53476158156991,0.2360450802370899,0.067614170257,0.02794159518089,0.0,0.0,0.01577681832714,0.0,0.24008811451494,0.56020314805209,0.0,,0.01185545552289,0.04701531433966,,0.0
"FSSC video
DTA-FiLM-MVS",1.22559070587158,0.27678979095071,0.17214426770806,0.1054452033713399,0.0073621631599962,2.30474155396223,0.9941404685378,5.4374035447835904,0.10398250306025,0.0,0.0,2.85671651363372,0.0,31.98371529579162,0.8277692832052701,0.0,,0.86957328021526,0.07193490746431,0.0,0.0008588949640397
